Timestamp (s),Voltage (V), Capacitance (F), Resistance (Ohms), Total Current (A)
3419.97168,-0.68649,0.00000,0.00000,7.33999E-5
3420.29297,-1.62439,4.28100E-10,3.35192E+6,6.95581E-5
3420.96484,-2.30371,3.81178E-10,5.16983E+6,6.95889E-5
3421.61523,-3.33820,3.57702E-10,4.97520E+6,5.90908E-5
3422.25879,-4.33441,3.34839E-10,8.25721E+6,5.91864E-5
3422.90039,-5.33543,3.16585E-10,9.64713E+6,5.90883E-5
3423.54199,-6.33282,3.01768E-10,9.78596E+6,5.92274E-5
3424.18555,-7.33215,2.89276E-10,1.19295E+7,5.92593E-5
3424.83105,-8.33484,2.78315E-10,1.20239E+7,5.92052E-5
3425.48340,-9.33388,2.68475E-10,1.29991E+7,5.91303E-5
3426.12402,-10.33600,2.59473E-10,1.42242E+7,5.91793E-5
3426.76660,-11.33440,2.51048E-10,1.57885E+7,5.92476E-5
3427.40625,-12.33887,2.42928E-10,1.81192E+7,5.92687E-5
3428.04883,-13.33900,2.35006E-10,2.07739E+7,5.93392E-5
3428.70020,-14.33962,2.27201E-10,2.60010E+7,5.92689E-5
3429.34082,-15.34172,2.19192E-10,2.93249E+7,5.92417E-5
3429.98926,-16.34044,2.10771E-10,3.60307E+7,5.91851E-5
3430.64063,-17.34014,2.01597E-10,5.44320E+7,5.92847E-5
3431.29199,-18.34283,1.91192E-10,-2.40511E+8,5.93219E-5
3431.93359,-19.34161,1.77068E-10,5.09330E+8,5.93406E-5
3432.57910,-20.34262,1.47136E-10,6.77393E+6,5.91848E-5
3433.22168,-21.34183,7.60004E-11,5.87659E+7,5.93723E-5
3433.89746,-22.05573,3.51009E-11,-6.02647E+6,5.99967E-5
3434.57715,-23.05962,1.33743E-11,-3.01229E+8,5.99371E-5
3435.24512,-24.05399,1.32721E-11,-2.06702E+8,5.99911E-5
3435.88867,-25.06609,1.32271E-11,-2.24889E+8,5.98829E-5
3436.52832,-26.07328,1.32065E-11,-1.93589E+8,6.00360E-5
3437.17285,-27.04694,1.31313E-11,-2.12722E+8,5.98556E-5
3437.81445,-28.05737,1.31425E-11,-1.08827E+8,5.98815E-5
3438.45703,-29.06200,1.31317E-11,-1.10293E+8,6.00208E-5
3439.09863,-30.05054,1.31013E-11,-1.13723E+8,6.00502E-5
3439.74219,-31.06592,1.30882E-11,-1.20595E+8,6.00604E-5
3440.39551,-32.06104,1.31024E-11,-1.26618E+8,6.01386E-5
3441.03809,-33.04696,1.30776E-11,-1.32883E+8,6.01167E-5
3441.68359,-34.05906,1.30743E-11,-9.24850E+7,6.00425E-5
3442.32422,-35.06503,1.30352E-11,-1.41301E+8,5.99214E-5
3442.96680,-36.05573,1.30235E-11,-1.81890E+8,5.99466E-5
3443.61035,-37.04625,1.30574E-11,-1.13707E+8,6.00939E-5
3444.25195,-38.05638,1.30039E-11,-1.97504E+8,6.01787E-5
3444.89355,-39.06854,1.30571E-11,-4.45477E+8,6.01797E-5
3445.53418,-40.04621,1.30528E-11,-1.86406E+8,6.01366E-5
3446.17676,-41.05980,1.30138E-11,-2.83354E+8,5.99856E-5
3446.83008,-42.07089,1.29500E-11,-2.11915E+8,6.01847E-5
3447.46973,-43.05708,1.30261E-11,-5.16267E+8,5.99967E-5
3448.11133,-44.05833,1.30301E-11,-1.64933E+8,5.99901E-5
3448.75098,-45.07211,1.30286E-11,-1.40091E+8,6.00621E-5
3449.39551,-46.06760,1.32173E-11,-2.51973E+8,6.01494E-5
3450.04785,-47.07074,1.29513E-11,-2.70069E+8,6.00999E-5
3450.69043,-48.06621,1.29989E-11,-1.53606E+8,6.00264E-5
3451.33301,-49.05444,1.30124E-11,-4.85570E+8,6.00397E-5
3451.97559,-50.05764,1.29252E-11,-1.95867E+8,6.01062E-5
3452.61523,-51.06860,1.29508E-11,-1.34311E+9,6.02755E-5
3453.26758,-52.04980,1.29695E-11,-2.44123E+8,6.01649E-5
3453.90723,-53.05474,1.29596E-11,-2.06668E+8,6.01143E-5
3454.54688,-54.05640,1.29523E-11,-2.44063E+8,6.01781E-5
3455.18750,-55.04269,1.29383E-11,-7.46669E+8,6.01681E-5
3455.82715,-56.06263,1.29023E-11,-2.98790E+8,6.00665E-5
3456.46582,-57.08231,1.29343E-11,-2.00806E+8,6.02741E-5
3457.10645,-58.04273,1.29624E-11,-4.42364E+8,6.01282E-5
3457.74805,-59.06759,1.29469E-11,-3.82566E+8,6.02960E-5
3458.40137,-60.06627,1.31877E-11,-1.92458E+8,6.02631E-5
3459.04785,-61.06446,1.29202E-11,-2.62330E+8,6.03131E-5
3459.68555,-62.05361,1.29844E-11,-5.67747E+8,6.02484E-5
3460.32715,-63.07272,1.28894E-11,-4.87592E+8,6.03097E-5
3460.96777,-64.06447,1.29408E-11,-1.64282E+8,6.01763E-5
3461.61914,-65.05090,1.29350E-11,-9.20787E+8,6.01595E-5
3462.26855,-66.06938,1.31863E-11,-1.51189E+8,6.03107E-5
3462.91211,-67.05141,1.31339E-11,-1.00222E+8,6.03012E-5
3463.55469,-68.05856,1.28935E-11,-3.33863E+8,6.02055E-5
3464.19531,-69.06311,1.29223E-11,-1.86160E+8,6.02862E-5
3464.83691,-70.04477,1.29038E-11,-1.60022E+8,6.02412E-5
3465.47656,-71.05766,1.29066E-11,-1.74134E+8,6.03272E-5
3466.12793,-72.05716,1.29000E-11,-2.81032E+8,6.03069E-5
3466.77246,-73.04736,1.28574E-11,-1.86759E+8,6.02940E-5
3467.42480,-74.06226,1.28613E-11,-2.70880E+8,6.03934E-5
