Timestamp (s),Voltage (V),SourceMeter Total Current (A), Pad PicoAmmeter Current (A), GR Calculated Current (A)
BEGIN
2618.44238,-2.05905E-5,8.61145E-11,1.58806E-9,-1.50195E-9
2620.75879,-1.00017,-5.46608E-10,1.90202E-9,-2.44863E-9
2622.64453,-2.00014,-8.97584E-10,2.01846E-9,-2.91605E-9
2624.53320,-3.00168,-1.23509E-9,-1.87032E-9,6.35234E-10
2625.58887,-4.00151,-1.59611E-9,-1.81356E-9,2.17452E-10
2626.23145,-5.00165,-1.98674E-9,-1.92708E-9,-5.96551E-11
2626.87305,-6.00177,-2.35197E-9,-1.80410E-9,-5.47862E-10
2627.51660,-7.00157,-2.70521E-9,-1.87978E-9,-8.25430E-10
2628.16113,-8.00168,-3.05258E-9,-1.93654E-9,-1.11604E-9
2628.80469,-9.00179,-3.40211E-9,-1.84194E-9,-1.56017E-9
2629.44824,-10.00153,-3.75740E-9,-1.84194E-9,-1.91545E-9
2630.09180,-11.00163,-4.12361E-9,-2.09735E-9,-2.02626E-9
2630.73633,-12.00176,-4.49850E-9,-2.02168E-9,-2.47682E-9
2631.37891,-13.00149,-4.84219E-9,-1.96492E-9,-2.87726E-9
2632.02051,-14.00158,-5.17060E-9,-2.05006E-9,-3.12053E-9
2632.66504,-15.00135,-5.47556E-9,-1.98384E-9,-3.49173E-9
2633.31055,-16.00143,-5.82146E-9,-1.87978E-9,-3.94167E-9
2633.95215,-17.00147,-6.16444E-9,-2.02168E-9,-4.14276E-9
2634.59570,-18.00118,-6.50214E-9,-1.97438E-9,-4.52776E-9
2635.23730,-19.00126,-6.83219E-9,-1.96492E-9,-4.86727E-9
2635.87988,-20.00142,-7.17045E-9,-2.05830E-9,-5.11216E-9
2636.52246,-21.00107,-7.52735E-9,-1.67339E-9,-5.85396E-9
2637.16699,-22.07647,-7.69902E-9,1.36204E-9,-9.06106E-9
2637.81055,-23.08105,-8.10783E-9,2.08019E-9,-1.01880E-8
2639.27734,-24.06862,-8.66096E-9,3.10737E-9,-1.17683E-8
2639.92480,-25.07738,-9.14338E-9,3.24879E-9,-1.23922E-8
2640.56543,-26.08183,-9.43772E-9,2.15224E-9,-1.15900E-8
2642.44238,-27.06700,-8.98772E-9,3.33008E-9,-1.23178E-8
2643.08984,-28.07443,-9.59571E-9,3.18209E-9,-1.27778E-8
2643.73438,-29.08227,-1.03283E-8,2.47317E-9,-1.28015E-8
2644.38281,-30.07007,-1.07040E-8,1.86832E-9,-1.25723E-8
2646.26172,-31.07573,-1.07398E-8,3.16024E-9,-1.39000E-8
2646.90430,-32.08028,-1.11546E-8,3.03568E-9,-1.41903E-8
2647.54590,-33.06828,-1.13943E-8,1.99327E-9,-1.33876E-8
2649.42969,-34.07299,-1.13344E-8,3.18173E-9,-1.45161E-8
2650.07129,-35.08101,-1.19654E-8,3.16072E-9,-1.51261E-8
2650.70996,-36.07038,-1.22273E-8,-1.97438E-9,-1.02530E-8
2651.76758,-37.07559,-1.23217E-8,-2.09736E-9,-1.02243E-8
2652.41113,-38.08157,-1.34025E-8,7.67634E-10,-1.41701E-8
2653.05664,-39.08836,-1.30387E-8,2.00212E-9,-1.50408E-8
2654.52832,-40.07617,-1.38874E-8,3.15915E-9,-1.70466E-8
2655.17383,-41.07903,-1.37331E-8,3.19045E-9,-1.69235E-8
2655.82129,-42.08873,-1.39604E-8,3.26725E-9,-1.72277E-8
2656.46191,-43.07674,-1.45604E-8,2.02789E-9,-1.65883E-8
2658.34570,-44.08234,-1.52343E-8,3.15245E-9,-1.83867E-8
2658.98633,-45.08853,-1.54466E-8,3.08244E-9,-1.85291E-8
2659.62793,-46.07489,-1.53775E-8,2.09143E-9,-1.74689E-8
2661.50977,-47.08104,-1.62278E-8,3.31007E-9,-1.95379E-8
2662.15234,-48.08879,-1.61143E-8,3.09386E-9,-1.92082E-8
2662.79688,-49.07616,-1.69686E-8,2.05428E-9,-1.90229E-8
2664.67969,-50.08021,-1.65324E-8,3.21208E-9,-1.97445E-8
2665.32617,-51.08659,-1.69400E-8,3.23530E-9,-2.01753E-8
2665.97461,-52.07553,-1.77378E-8,2.65180E-9,-2.03896E-8
2666.61719,-53.08003,-1.79174E-8,-2.30538E-9,-1.56120E-8
2667.25977,-54.08722,-1.80156E-8,-2.30538E-9,-1.57103E-8
2667.90234,-55.07508,-1.87997E-8,-2.32430E-9,-1.64754E-8
2668.54492,-56.08131,-1.85191E-8,3.36650E-9,-2.18856E-8
2669.18848,-57.08988,-1.94362E-8,3.09373E-9,-2.25299E-8
2669.83008,-58.07467,-1.91443E-8,3.18726E-9,-2.23316E-8
2670.47363,-59.08088,-2.01306E-8,1.89200E-9,-2.20226E-8
2672.35547,-60.08712,-2.04781E-8,2.95366E-9,-2.34317E-8
2672.99512,-61.07281,-2.08511E-8,3.04762E-9,-2.38987E-8
2673.63965,-62.08035,-2.12086E-8,-2.12568E-9,-1.90829E-8
2674.28027,-63.08549,-2.11998E-8,-2.43779E-9,-1.87620E-8
2674.92188,-64.07391,-2.13515E-8,-2.52292E-9,-1.88286E-8
2675.56543,-65.07711,-2.19674E-8,3.04592E-9,-2.50133E-8
2676.20996,-66.08600,-2.25551E-8,3.11761E-9,-2.56727E-8
2676.85254,-67.07296,-2.24460E-8,3.19672E-9,-2.56427E-8
2677.49512,-68.07759,-2.29830E-8,3.07060E-9,-2.60536E-8
2678.13965,-69.08591,-2.35145E-8,-2.31484E-9,-2.11997E-8
2678.78223,-70.07001,-2.35424E-8,-2.37158E-9,-2.11708E-8
2679.42188,-71.07799,-2.41141E-8,-2.39996E-9,-2.17141E-8
2680.07031,-72.08430,-2.45761E-8,1.89178E-9,-2.64679E-8
2681.95801,-73.07369,-2.42268E-8,3.05507E-9,-2.72819E-8
2682.60059,-74.07769,-2.48062E-8,3.01995E-9,-2.78261E-8
2683.24414,-75.08467,-2.54609E-8,1.94552E-9,-2.74064E-8
2685.12695,-76.07384,-2.50485E-8,3.01546E-9,-2.80640E-8
2685.77344,-77.07881,-2.54422E-8,2.95773E-9,-2.83999E-8
2686.41504,-78.08675,-2.65481E-8,-2.54185E-9,-2.40062E-8
2687.05957,-79.07318,-2.64993E-8,-2.77829E-9,-2.37211E-8
2687.70117,-80.07777,-2.69906E-8,-2.61750E-9,-2.43731E-8
2688.34277,-81.08440,-2.71326E-8,2.83372E-9,-2.99663E-8
2688.98633,-82.07151,-2.75886E-8,2.92667E-9,-3.05153E-8
2689.62793,-83.07880,-2.82415E-8,2.81759E-9,-3.10591E-8
2690.27246,-84.08356,-2.82075E-8,1.50265E-9,-2.97102E-8
2692.15137,-85.09229,-2.90874E-8,2.47797E-9,-3.15654E-8
2692.79785,-86.07900,-2.96014E-8,2.31339E-9,-3.19148E-8
2693.44043,-87.08529,-2.96258E-8,-3.24177E-9,-2.63840E-8
2694.08301,-88.08949,-3.08420E-8,-3.58225E-9,-2.72597E-8
2694.72754,-89.07598,-3.12171E-8,-4.02680E-9,-2.71903E-8
2695.37109,-90.08378,-3.17913E-8,1.08913E-9,-3.28804E-8
2696.42871,-91.09003,-3.36269E-8,-8.99745E-13,-3.36260E-8
2698.21191,-92.07793,-3.60896E-8,-7.30888E-9,-2.87807E-8
2698.85254,-93.08412,-4.22870E-8,-6.67982E-9,-3.56072E-8
2699.49512,-94.09236,-6.69095E-8,-3.54439E-8,-3.14656E-8
2700.92188,-95.08280,-2.23612E-7,-1.95340E-7,-2.82724E-8
2701.57129,-95.61331,-1.00001E-6,-9.68818E-7,-3.11948E-8
